"date","Open","High","Low","close"
2020-05-04,2815.01,2828.34,2797.85,2827
2020-05-01,2869.09,2869.09,2821.61,2830.71
2020-04-30,2930.91,2930.91,2892.47,2912.43
2020-04-29,2918.46,2954.86,2912.16,2939.51
2020-04-28,2909.96,2921.15,2860.71,2863.39
2020-04-27,2854.65,2887.72,2852.89,2878.48
2020-04-24,2812.64,2842.71,2791.76,2836.74
2020-04-23,2810.42,2844.9,2794.26,2797.8
2020-04-22,2787.89,2815.1,2775.95,2799.31
2020-04-21,2784.81,2785.54,2727.1,2736.56
2020-04-20,2845.62,2868.98,2820.43,2823.16
2020-04-17,2842.43,2879.22,2830.88,2874.56
2020-04-16,2799.34,2806.51,2764.32,2799.55
2020-04-15,2795.64,2801.88,2761.54,2783.36
2020-04-14,2805.1,2851.85,2805.1,2846.06
2020-04-13,2782.46,2782.46,2721.17,2761.63
2020-04-09,2776.99,2818.57,2762.36,2789.82
2020-04-08,2685,2760.75,2663.3,2749.98
2020-04-07,2738.65,2756.89,2657.67,2659.41
2020-04-06,2578.28,2676.85,2574.57,2663.68
2020-04-03,2514.92,2538.18,2459.96,2488.65
2020-04-02,2458.54,2533.22,2455.79,2526.9
2020-04-01,2498.08,2522.75,2447.49,2470.5
2020-03-31,2614.69,2641.39,2571.15,2584.59
2020-03-30,2558.98,2631.8,2545.28,2626.65
2020-03-27,2555.87,2615.91,2520.02,2541.47
2020-03-26,2501.29,2637.01,2500.72,2630.07
2020-03-25,2457.77,2571.42,2407.53,2475.56
2020-03-24,2344.44,2449.71,2344.44,2447.33
2020-03-23,2290.71,2300.73,2191.86,2237.4
2020-03-20,2431.94,2453.01,2295.56,2304.92
2020-03-19,2393.48,2466.97,2319.78,2409.39
2020-03-18,2436.5,2453.57,2280.52,2398.1
2020-03-17,2425.66,2553.93,2367.04,2529.19
2020-03-16,2508.59,2562.98,2380.94,2386.13
2020-03-13,2569.99,2711.33,2492.37,2711.02
2020-03-12,2630.86,2660.95,2478.86,2480.64
2020-03-11,2825.6,2825.6,2707.22,2741.38
2020-03-10,2813.48,2882.59,2734,2882.23
2020-03-09,2863.89,2863.89,2734.43,2746.56
2020-03-06,2954.2,2985.93,2901.54,2972.37
2020-03-05,3075.7,3083.04,2999.83,3023.94
2020-03-04,3045.75,3130.97,3034.38,3130.12
2020-03-03,3096.46,3136.72,2976.63,3003.37
2020-03-02,2974.28,3090.96,2945.19,3090.23
2020-02-28,2916.9,2959.72,2855.84,2954.22
2020-02-27,3062.54,3097.07,2977.39,2978.76
2020-02-26,3139.9,3182.51,3108.99,3116.39
2020-02-25,3238.94,3246.99,3118.77,3128.21
2020-02-24,3257.61,3259.81,3214.65,3225.89
2020-02-21,3360.5,3360.76,3328.45,3337.75
2020-02-20,3380.45,3389.15,3341.02,3373.23
2020-02-19,3380.39,3393.52,3378.83,3386.15
2020-02-18,3369.04,3375.01,3355.61,3370.29
2020-02-14,3378.08,3380.69,3366.15,3380.16
2020-02-13,3365.9,3385.09,3360.52,3373.94
2020-02-12,3370.5,3381.47,3369.72,3379.45
2020-02-11,3365.87,3375.63,3352.72,3357.75
2020-02-10,3318.28,3352.26,3317.77,3352.09
2020-02-07,3335.54,3341.42,3322.12,3327.71
2020-02-06,3344.92,3347.96,3334.39,3345.78
2020-02-05,3324.91,3337.58,3313.75,3334.69
2020-02-04,3280.61,3306.92,3280.61,3297.59
2020-02-03,3235.66,3268.44,3235.66,3248.92
2020-01-31,3282.33,3282.33,3214.68,3225.52
2020-01-30,3256.45,3285.91,3242.8,3283.66
2020-01-29,3289.46,3293.47,3271.89,3273.4
2020-01-28,3255.35,3285.78,3253.22,3276.24
2020-01-27,3247.16,3258.85,3234.5,3243.63
2020-01-24,3333.1,3333.18,3281.53,3295.47
2020-01-23,3315.77,3326.88,3301.87,3325.54
2020-01-22,3330.02,3337.77,3320.04,3321.75
2020-01-21,3321.03,3329.79,3316.61,3320.79
2020-01-17,3323.66,3329.88,3318.86,3329.62
2020-01-16,3302.97,3317.11,3302.82,3316.81
2020-01-15,3282.27,3298.66,3280.69,3289.29
2020-01-14,3285.35,3294.25,3277.19,3283.15
2020-01-13,3271.13,3288.13,3268.43,3288.13
2020-01-10,3281.81,3282.99,3260.86,3265.35
2020-01-09,3266.03,3275.58,3263.67,3274.7
2020-01-08,3238.59,3267.07,3236.67,3253.05
2020-01-07,3241.86,3244.91,3232.43,3237.18
2020-01-06,3217.55,3246.84,3214.64,3246.28
2020-01-03,3226.36,3246.15,3222.34,3234.85
2020-01-02,3244.67,3258.14,3235.53,3257.85
2020-12-31,3215.18,3231.72,3212.03,3230.78
2020-12-30,3240.09,3240.92,3216.57,3221.29
2020-12-27,3247.23,3247.93,3234.37,3240.02
2020-12-26,3227.2,3240.08,3227.2,3239.91
2020-12-24,3225.45,3226.43,3220.51,3223.38
2020-12-23,3226.05,3227.78,3222.3,3224.01
2020-12-20,3223.33,3225.65,3216.03,3221.22
2020-12-19,3192.32,3205.48,3192.32,3205.37
2020-12-18,3195.21,3198.48,3191.14,3191.14
2020-12-17,3195.4,3198.22,3191.03,3192.52
2020-12-16,3183.63,3197.71,3183.63,3191.45
2020-12-13,3166.65,3182.68,3156.51,3168.8
2020-12-12,3141.23,3176.28,3138.47,3168.57
2020-12-11,3135.75,3143.98,3133.21,3141.63
2020-12-10,3135.36,3142.12,3126.09,3132.52
