"date","cases","deaths"
2020-02-24,4,1
2020-02-25,10,1
2020-02-26,14,1
2020-02-27,26,1
2020-02-28,34,1
2020-02-29,59,1
2020-03-01,85,1
2020-03-02,121,1
2020-03-03,166,2
2020-03-04,228,2
2020-03-05,282,3
2020-03-06,401,8
2020-03-07,525,10
2020-03-08,674,17
2020-03-09,1231,30
2020-03-10,1695,36
2020-03-11,2277,55
2020-03-12,3146,86
2020-03-13,5232,133
2020-03-14,6391,196
2020-03-15,7988,294
2020-03-16,9942,342
2020-03-17,11826,533
2020-03-18,14769,638
2020-03-19,18077,833
2020-03-20,21571,1093
2020-03-21,25496,1381
2020-03-22,29909,1813
2020-03-23,35480,2342
2020-03-24,42058,2994
2020-03-25,50105,3650
2020-03-26,57786,4368
2020-03-27,65719,5138
2020-03-28,73232,5982
2020-03-29,80110,6803
2020-03-30,87956,7716
2020-03-31,95923,8464
2020-04-01,104118,9387
2020-04-02,112065,10348
2020-04-03,119199,11198
2020-04-04,126168,11947
2020-04-05,131646,12641
2020-04-06,136675,13341
2020-04-07,141942,14045
2020-04-08,148220,14792
2020-04-09,153222,15447
2020-04-10,158273,16081
2020-04-11,163027,16606
2020-04-12,166831,17209
2020-04-13,170099,17756
2020-04-14,174060,18255
2020-04-15,180659,18812
2020-04-16,184948,19130
2020-04-17,190839,19478
2020-04-18,194416,20043
2020-04-19,198674,20453
2020-04-20,200210,20852
2020-04-21,204178,21282
2020-04-22,208389,21717
2020-04-23,213024,22157
2020-04-24,219764,22524
2020-04-25,223759,22902
2020-04-26,226629,23190
2020-04-27,229422,23521
2020-04-28,232128,23822
2020-04-29,236899,24275
2020-04-30,239369,24543
2020-05-01,242988,24824
2020-05-02,245567,25100
2020-05-03,247122,25264
2020-05-04,248301,25428
